relative_path,file_name,folder,width,height,channels,has_alpha,suggested_category,suggested_object,next_step_usefulness
reanim/Cattail_hat.png,Cattail_hat.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_head.png,Cattail_head.png,reanim,,,,False,plant,cattail,high_for_plant_reference
reanim/Cattail_paw1.png,Cattail_paw1.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_paw2.png,Cattail_paw2.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_paw3.png,Cattail_paw3.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_spike.png,Cattail_spike.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_tail.png,Cattail_tail.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_tail2.png,Cattail_tail2.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_tail2_overlay.png,Cattail_tail2_overlay.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/CherryBomb_leaf1.png,CherryBomb_leaf1.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_leaf1tip.png,CherryBomb_leaf1tip.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_leaf2.png,CherryBomb_leaf2.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_leaf2tip.png,CherryBomb_leaf2tip.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_leaf3.png,CherryBomb_leaf3.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_left1.png,CherryBomb_left1.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_left3.png,CherryBomb_left3.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye11.png,CherryBomb_lefteye11.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye12.png,CherryBomb_lefteye12.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye13.png,CherryBomb_lefteye13.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye14.png,CherryBomb_lefteye14.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye15.png,CherryBomb_lefteye15.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye21.png,CherryBomb_lefteye21.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye22.png,CherryBomb_lefteye22.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye23.png,CherryBomb_lefteye23.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye24.png,CherryBomb_lefteye24.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_lefteye25.png,CherryBomb_lefteye25.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_leftmouth1.png,CherryBomb_leftmouth1.png,reanim,,,,False,plant,cherry_bomb,high_for_plant_reference
reanim/CherryBomb_leftmouth2.png,CherryBomb_leftmouth2.png,reanim,,,,False,plant,cherry_bomb,high_for_plant_reference
reanim/CherryBomb_leftmouth3.png,CherryBomb_leftmouth3.png,reanim,,,,False,plant,cherry_bomb,high_for_plant_reference
reanim/CherryBomb_leftmouth4.png,CherryBomb_leftmouth4.png,reanim,,,,False,plant,cherry_bomb,high_for_plant_reference
reanim/CherryBomb_leftmouth5.png,CherryBomb_leftmouth5.png,reanim,,,,False,plant,cherry_bomb,high_for_plant_reference
reanim/CherryBomb_leftstem.png,CherryBomb_leftstem.png,reanim,,,,False,plant,cherry_bomb,high_for_plant_reference
reanim/CherryBomb_right1.png,CherryBomb_right1.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_right3.png,CherryBomb_right3.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye11.png,CherryBomb_righteye11.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye12.png,CherryBomb_righteye12.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye13.png,CherryBomb_righteye13.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye14.png,CherryBomb_righteye14.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye15.png,CherryBomb_righteye15.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye21.png,CherryBomb_righteye21.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
reanim/CherryBomb_righteye22.png,CherryBomb_righteye22.png,reanim,,,,False,plant,cherry_bomb,medium_for_plant_reference
